StartCycle	NumCalculations	
361361	2050048	
362362	1978368	
363363	0	
364364	1277952	
365365	2050048	
366366	2050048	
367367	974848	
368368	1337344	
369369	2050048	
370370	2050048	
371371	256000	
372372	2050048	
373373	2050048	
374374	2050048	
375375	2050048	
376376	2050048	
377377	2050048	
378378	1164288	
379379	1796096	
380380	0	
381381	0	
382382	0	
383383	0	
384384	0	
385385	368640	
386386	1077248	
387387	245760	
388388	1568768	
389389	1826816	
390390	2050048	
391391	2050048	
392392	491520	
393393	585728	
394394	1996800	
395395	1898496	
396396	0	
397397	1001472	
398398	2050048	
399399	2050048	
400400	6144	
401401	1214464	
402402	2050048	
403403	1875968	
404404	0	
405405	1105920	
406406	2050048	
407407	1488896	
408408	0	
409409	1677312	
410410	2050048	
411411	2050048	
412412	1716224	
413413	2050048	
414414	2050048	
415415	2050048	
416416	307552	
417417	512	
418418	160	
419419	1206272	
420420	0	
421421	0	
422422	0	
423423	552960	
424424	749568	
425425	651264	
426426	552960	
427427	1425408	
428428	2050048	
429429	2050048	
430430	2050048	
431431	1951744	
432432	304	
433433	624	
434434	256	
435435	800	
436436	4160	
437437	0	
438438	815104	
439439	1144832	
440440	0	
441441	0	
442442	303104	
443443	630784	
444444	759808	
445445	1544192	
446446	2039808	
447447	2050048	
448448	2050048	
449449	792576	
450450	1705984	
451451	2050048	
452452	1806336	
453453	0	
454454	1994752	
455455	2050048	
456456	2050048	
457457	419840	
458458	2050048	
459459	2050048	
460460	1959936	
461461	452608	
462462	1828864	
463463	2050048	
464464	1165312	
465465	262144	
466466	2050048	
467467	2050048	
468468	2023424	
469469	677888	
470470	2050048	
471471	2050048	
472472	2050048	
473473	2050048	
474474	2050048	
475475	2050048	
476476	1203200	
477477	0	
478478	0	
479479	1021952	
480480	774144	
481481	0	
482482	0	
483483	602112	
484484	2023424	
485485	1392640	
486486	0	
487487	1789952	
488488	2050048	
489489	153600	
490490	657408	
491491	2050048	
492492	2050048	
493493	382976	
494494	616448	
495495	2050048	
496496	2050048	
497497	358400	
498498	307200	
499499	2050048	
500500	2050048	
501501	733184	
502502	256000	
503503	2050048	
504504	2050048	
505505	751616	
506506	585728	
507507	1982464	
508508	2050048	
509509	1519616	
510510	2050048	
511511	2050048	
512512	2050048	
513513	1200288	
514514	256	
515515	592	
516516	16	
